disk_resource_id,disk_state,disk_size,read_iops,write_iops,recommendation
/subscriptions/38c26c07-ccce-4839-b504-cddac8e5b09d/resourceGroups/acodemos/providers/Microsoft.Compute/disks/hackatonunuseddisk,Unattached,1024,0,0,Consider decommissioning.
/subscriptions/38c26c07-ccce-4839-b504-cddac8e5b09d/resourceGroups/MGMT/providers/Microsoft.Compute/disks/VM-LINUX-01_OsDisk_1_765c8e478e9148afa4ba3d2dc370d52e,Reserved,30,13821.464583333332,57087.27916666667,Consider resizing for efficiency.
/subscriptions/38c26c07-ccce-4839-b504-cddac8e5b09d/resourceGroups/MGMT/providers/Microsoft.Compute/disks/vmwithhibernationmode_OsDisk_1_80889764746a4f4ebbf127a1fb7f6645,Reserved,128,886436.9979166667,1366602.6944444445,"High usage, monitor for performance."
/subscriptions/38c26c07-ccce-4839-b504-cddac8e5b09d/resourceGroups/RG-TUBDEMOS/providers/Microsoft.Compute/disks/vm-forcedetachdemo1-1_OsDisk_1_6949d21282454a37b4387743c3fd6343,Reserved,30,0,0,Consider decommissioning.
/subscriptions/38c26c07-ccce-4839-b504-cddac8e5b09d/resourceGroups/RG-TUBDEMOS/providers/Microsoft.Compute/disks/vm-forcedetachdemo1-2_OsDisk_1_128de3256d144260b5b4894b0ee0756b,Reserved,30,0,0,Consider decommissioning.
/subscriptions/38c26c07-ccce-4839-b504-cddac8e5b09d/resourceGroups/RG-TUBDEMOS/providers/Microsoft.Compute/disks/vm-forcedetachdemo1-3_OsDisk_1_2f86c1fb4868417891d91251ff99ca2d,Reserved,30,0,0,Consider decommissioning.
/subscriptions/38c26c07-ccce-4839-b504-cddac8e5b09d/resourceGroups/RG-TUBDEMOS/providers/Microsoft.Compute/disks/vmacoademospot_OsDisk_1_9e7ee62ab5b34feaa27acac45990376c,Reserved,30,8335.288888888888,30474.568055555555,Consider resizing for efficiency.
/subscriptions/38c26c07-ccce-4839-b504-cddac8e5b09d/resourceGroups/RG-TUBDEMOS/providers/Microsoft.Compute/disks/vmencrypted1_OsDisk_1_1efe14002f2746539ccdbd04301ba7d7,Reserved,30,18561.425694444446,106127.85486111112,Consider resizing for efficiency.
/subscriptions/38c26c07-ccce-4839-b504-cddac8e5b09d/resourceGroups/rg-tubdemos/providers/Microsoft.Compute/disks/vmtest_OsDisk_1_40d66a908bdf4a84b14b88818a2d87ef,Reserved,30,3317.8493055555555,24759.134027777774,Consider resizing for efficiency.
/subscriptions/38c26c07-ccce-4839-b504-cddac8e5b09d/resourceGroups/RG-TUBDEMOS/providers/Microsoft.Compute/disks/zrsdisk,Reserved,4,0,0,Consider decommissioning.
/subscriptions/38c26c07-ccce-4839-b504-cddac8e5b09d/resourceGroups/sample-rg/providers/Microsoft.Compute/disks/Sample-VM_OsDisk_1_2b5cd811edec4c85b53ebf6eaa8f6399,Reserved,127,1922936.6090277778,2389167.625,"High usage, monitor for performance."
/subscriptions/38c26c07-ccce-4839-b504-cddac8e5b09d/resourceGroups/TESTCENTOS79_GROUP/providers/Microsoft.Compute/disks/osdisk,Reserved,30,0.0,0.0,Consider decommissioning.
